,index,word,_score,_pvalue
0,1139,giá,842.0463802297646,3.2890819398047034e-182
1,2026,rẻ,550.361552884717,5.801741017036951e-119
2,2880,đồng,444.78378207158687,4.399634325090365e-96
3,638,bán,430.8732672622161,4.541278173322745e-93
4,2363,triệu,420.2343251327011,9.162022657048805e-91
5,1718,mức,387.5911106879449,1.078705403696059e-83
6,724,cao,323.67002081139174,7.486432607934977e-70
7,913,có_giá,318.8312267067795,8.351318983149638e-69
8,2485,tương_tự,252.10979307094422,2.2882393172473637e-54
9,524,917,185.22222222222223,6.570797906885689e-40
10,521,901,185.22222222222223,6.570797906885689e-40
11,513,878,185.22222222222223,6.570797906885689e-40
12,2,006,185.22222222222223,6.570797906885689e-40
13,5,048,185.22222222222223,6.570797906885689e-40
14,866,coupe,185.22222222222223,6.570797906885689e-40
15,547,988,185.22222222222223,6.570797906885689e-40
16,409,628,185.22222222222223,6.570797906885689e-40
17,2847,đặc_điểm,185.22222222222223,6.570797906885689e-40
18,2417,trở,185.22222222222223,6.570797906885689e-40
19,8,056,185.22222222222223,6.570797906885689e-40
20,528,932,185.22222222222223,6.570797906885689e-40
21,1914,phiên_bản,139.28300689251068,5.3957725867311054e-30
22,949,cảm_giác,136.1478941480028,2.558358494185357e-29
23,1812,nhất,111.34532338881938,5.633722865034273e-24
24,1470,kích_thước,102.10440327717284,5.482333856070526e-22
25,1068,dự_đoán,95.19891598915991,1.6732710069692968e-20
26,523,913,95.19891598915991,1.6732710069692968e-20
27,362,510,95.19891598915991,1.6732710069692968e-20
28,12,075,95.19891598915991,1.6732710069692968e-20
29,848,ckd,95.19891598915991,1.6732710069692968e-20
30,9,066,94.72318007662837,2.117412045712988e-20
31,1298,hình_thức,94.72318007662837,2.117412045712988e-20
32,2642,vững_chắc,91.79241192411926,9.026735893760164e-20
33,2593,vát,91.79241192411926,9.026735893760164e-20
34,2745,đa_giác,91.79241192411926,9.026735893760164e-20
35,2299,tiếp_cận,91.79241192411926,9.026735893760164e-20
