Word_idx,Word,POS,Tag
604,Đồng_thời,C,O
604,vị_trí,N,O
604,đèn_pha,N,O
604,của,E,O
604,Xpander,Np,B-SUB
604,cũng,R,O
604,được,V,O
604,dời,V,O
604,thấp,A,O
604,xuống,R,O
604,so,V,O
604,với,E,O
604,Ertiga,Np,B-OBJ
605,Tuy,C,O
605,có_giá,N,O
605,bán,V,O
605,rẻ,A,O
605,hơn,R,O
605,nhưng,C,O
605,Kia,Np,B-SUB
605,Morning,Np,I-SUB
605,S,Ny,I-SUB
605,lại,R,O
605,nổi_trội,A,O
605,hơn,R,O
605,đôi_chút,L,O
605,nhờ,V,O
605,đèn_pha,N,O
605,có,V,O
605,thêm,V,O
605,tính_năng,N,O
605,tự_động,A,O
605,bật,V,O
605,tắt,A,O
605,",",F,O
605,đèn,N,O
605,hậu,N,O
605,LED,Ny,O
605,",",F,O
605,trong,E,O
605,khi,N,O
605,đó,P,O
605,trên,E,O
605,Brio,Np,B-OBJ
605,RS,Ny,I-OBJ
605,chỉ,R,O
605,là,V,O
605,loại,Nc,O
605,bóng,N,O
605,thường,A,O
606,Thông_số,N,O
606,kỹ_thuật,N,O
606,về,E,O
606,kích_thước,N,O
606,cho,V,O
606,thấy,V,O
606,SantaFe,N,B-SUB
606,có,V,O
606,kích_thước,N,O
606,tổng_thể,N,O
606,lớn,A,O
606,hơn,R,O
606,so,V,O
606,với,E,O
606,Peugeot,Np,B-OBJ
606,5008,M,I-OBJ
607,Trong,E,O
607,khi,N,O
607,đó,P,O
607,",",F,O
607,do,E,O
607,chưa,R,O
607,phải,V,O
607,bản,V,O
607,cao_cấp,A,O
607,nhất,A,O
607,nên,C,O
607,Vios,Np,B-SUB
607,E,Np,I-SUB
607,CVT,Ny,I-SUB
607,chỉ,R,O
607,sở_hữu,V,O
607,các,L,O
607,trang_bị,N,O
607,cơ_bản,A,O
607,như,C,O
607,đèn_pha,N,O
607,Halogen,Np,O
607,",",F,O
607,gương,N,O
607,gập,V,O
607,/,F,O
607,chỉnh,V,O
607,điện,N,O
607,tự_động,A,O
607,và,C,O
607,mâm,N,O
607,đúc,V,O
607,cũng,R,O
607,chỉ,R,O
607,có,V,O
607,đường_kính,N,O
607,15,M,O
607,inch,N,O
607,–,N,O
607,nhỏ,A,O
607,hơn,A,O
607,1,M,O
607,inch,N,O
607,so,V,O
607,với,E,O
607,đối_thủ,N,B-OBJ
608,Về,V,O
608,trang_bị,V,O
608,ngoại_thất,N,O
608,",",F,O
608,bản,Nc,B-SUB
608,AT,Ny,I-SUB
608,của,E,I-SUB
608,Xpander,Np,I-SUB
608,vừa,R,O
608,ra_mắt,V,O
608,cũng,R,O
608,đã,R,O
608,được,V,O
608,cải_tiến,V,O
608,lên,V,O
608,hệ_thống,N,O
608,đèn_chiếu,N,O
608,sáng,N,O
608,full,N,O
608,-,F,O
608,LED,Ny,O
608,",",F,O
608,thay_thế,V,O
608,cho,E,O
608,loại,Nc,O
608,halogen,N,O
608,trước,E,O
608,đây,P,O
608,để,E,O
608,tạo,V,O
608,thế,R,O
608,cân_bằng,A,O
608,với,E,O
608,đối_thủ,N,B-OBJ
609,Sở_hữu,V,O
609,các,L,O
609,thông_số,N,O
609,về,E,O
609,kích_thước,N,O
609,tổng_thể,N,O
609,nhỉnh,A,O
609,hơn,R,O
609,so,V,O
609,với,E,O
609,đối_thủ,N,B-OBJ
609,(,F,O
609,dài,A,O
609,hơn,A,O
609,160mm,M,O
609,",",F,O
609,cao,A,O
609,hơn,A,O
609,50mm,M,O
609,),F,O
609,",",F,O
609,chiều,N,O
609,dài,A,O
609,cơ_sở,N,O
609,cũng,R,O
609,lớn,A,O
609,hơn,A,O
609,35mm,M,O
609,",",F,O
609,Nissan,Np,B-SUB
609,X,Np,I-SUB
609,-,F,I-SUB
609,Trail,Np,I-SUB
609,vì_thế,C,O
609,mang,V,O
609,lại,R,O
609,cho,E,O
609,người,N,O
609,dùng,V,O
609,một,M,O
609,không_gian,N,O
609,nội_thất,N,O
609,rộng_rãi,A,O
609,",",F,O
609,thoải_mái,A,O
609,hơn,A,O
610,La,Np,O
610,-,F,O
610,zăng,N,O
610,5,M,O
610,chấu,N,O
610,kép,N,O
610,trên,E,O
610,Tucson,Np,B-SUB
610,cũng,R,O
610,được,V,O
610,làm,V,O
610,mới,R,O
610,",",F,O
610,kết_hợp,V,O
610,với,E,O
610,cụm,N,O
610,đèn,N,O
610,hậu,N,O
610,LED,Ny,O
610,và,C,O
610,cặp,M,O
610,ống_xả,N,O
610,kép,N,O
610,ở,E,O
610,đuôi,N,O
610,xe,N,O
610,tạo,V,O
610,cảm_quan,N,O
610,trẻ_trung,A,O
610,và,C,O
610,thể_thao,N,O
610,hơn,A,O
610,so,V,O
610,với,E,O
610,đối_thủ,N,B-OBJ
611,Thông_số,N,O
611,khoảng,A,O
611,sáng,N,O
611,gầm,N,O
611,trên,E,O
611,Mazda6,Np,B-SUB
611,cao,A,O
611,hơn,A,O
611,34mm,M,O
611,so,V,O
611,với,E,O
611,trên,E,O
611,Accord,Np,B-OBJ
611,",",F,O
611,đảm_bảo,V,O
611,hơn,A,O
611,cho,E,O
611,khả_năng,N,O
611,vận_hành,V,O
611,linh_hoạt,V,O
611,trên,E,O
611,những,L,O
611,đoạn,Nc,O
611,đường,N,O
611,gồ_ghề,A,O
612,Các,L,O
612,thông_số,N,O
612,về,E,O
612,kích_thước,N,O
612,tổng_thể,N,O
612,",",F,O
612,chiều,N,O
612,dài,A,O
612,cơ_sở,N,O
612,và,C,O
612,khoảng,A,O
612,sáng,N,O
612,gầm,N,O
612,trên,E,O
612,Mazda3,Np,B-SUB
612,đều,R,O
612,nhỉnh,A,O
612,hơn,R,O
612,so,V,O
