,index,word,_score,_pvalue
0,864,cos,302.72727272727263,2.5556499449640288e-65
1,2791,đèn_pha,299.41693173958026,1.3303346037608896e-64
2,2302,tiết_kiệm,258.94962317280215,7.586107909508389e-56
3,1787,nhiên_liệu,243.33029935542672,1.812629032716882e-52
4,1502,led,206.50498755421796,1.6576966015618399e-44
5,1211,halogen,196.8611153277961,2.010765918154379e-42
6,757,chiếu,157.88102864776098,5.2529149181644075e-34
7,2177,thiệt_thòi,157.6190476190476,5.98318852707707e-34
8,2789,đèn,155.71039421546902,1.5444686780929855e-33
9,2776,đá,151.36363636363632,1.338431432235812e-32
10,2149,ten,151.36363636363632,1.338431432235812e-32
11,1131,gia_tăng,151.36363636363632,1.338431432235812e-32
12,2595,vây,151.36363636363632,1.338431432235812e-32
13,2741,ăng,151.36363636363632,1.338431432235812e-32
14,893,cá_mập,151.36363636363632,1.338431432235812e-32
15,976,cốt,151.36363636363632,1.338431432235812e-32
16,2540,tỳ,139.53924812030075,4.751219314494604e-30
17,694,bệ,139.53924812030075,4.751219314494604e-30
18,1967,projector,118.33028443542875,1.7661109692567066e-25
19,747,chia,114.08658008658008,1.4478685201583565e-24
20,654,bóng,100.60571044914339,1.151471344099941e-21
21,605,ban_ngày,90.57953740656627,1.6446599263910674e-19
22,2389,trơn,80.93988269794721,1.9293841427824218e-17
23,1452,kiêm,78.8095238095238,5.5254568957495737e-17
24,784,chói,78.8095238095238,5.5254568957495737e-17
25,301,43,78.8095238095238,5.5254568957495737e-17
26,2197,thành,78.8095238095238,5.5254568957495737e-17
27,1689,mắt_xích,78.8095238095238,5.5254568957495737e-17
28,2643,welcome_light,78.8095238095238,5.5254568957495737e-17
29,1341,hộc,78.8095238095238,5.5254568957495737e-17
30,1039,dĩ_nhiên,78.8095238095238,5.5254568957495737e-17
31,2464,tích_hợp,73.31705799506096,8.312899736291931e-16
32,1145,gió,67.14965801600778,1.7395139348626552e-14
33,1301,hòa,62.82226975062289,1.465782119968793e-13
34,1413,khả_năng,62.546890766793524,1.6785811020516202e-13
35,2220,thông_thường,62.43295011722857,1.7754170852934956e-13
36,2537,tự_động,61.74480616456424,2.49112925505856e-13
37,2714,yếu,60.832355889724326,3.903013863938823e-13
38,2135,sử_dụng,58.97012354409272,9.75533777829692e-13
39,616,bi,56.613397549172475,3.1076649599572175e-12
40,989,cửa,54.86418869755032,7.339851535654424e-12
41,21,100km,53.37389643463498,1.5259129407836227e-11
42,1059,dọc,52.66079899161392,2.1655118942583416e-11
43,2347,trang_bị,51.34260965847858,4.135208696615447e-11
44,2763,điểm_trừ,50.146700083542186,7.434620738854493e-11
45,2715,yếu_thế,50.146700083542186,7.434620738854493e-11
46,1312,hạn_chế,50.146700083542186,7.434620738854493e-11
47,1693,mặt_bằng,49.25805422647527,1.1494519093230195e-10
48,756,chiến_tuyến,49.25805422647527,1.1494519093230195e-10
49,644,báo,48.60521887563484,1.5829484093996202e-10
50,2485,tương_tự,46.52376574484791,4.388550698461023e-10
51,2864,định_vị,45.474410234845585,7.335579269621422e-10
