Word_idx,Word,POS,Tag
301,Về,E,O
301,cơ_bản,N,O
301,",",F,O
301,động_cơ,N,O
301,của,E,O
301,Traveller,Np,B-S
301,khó,A,O
301,có_thể,R,O
301,mạnh_mẽ,A,O
301,được,R,O
301,như,C,O
301,V,Np,B-O
301,-,F,I-O
301,Class,Np,I-O
302,Toyota,N,B-S
302,quả,N,O
302,không,R,O
302,hổ_danh,A,O
302,là,C,O
302,mẫu,N,O
302,xe,N,O
302,ăn_khách,A,O
302,nhất,R,O
302,phân,N,B-O
302,khúc,N,I-O
302,xe,N,I-O
302,cỡ,N,I-O
302,D,Np,I-O
302,với,E,O
302,động_cơ,N,O
302,2.5,M,O
302,L,Np,O
302,",",F,O
302,4,M,O
302,xy,N,O
302,lanh,V,O
302,",",F,O
302,16,M,O
302,van,N,O
302,DOHC,Ny,O
302,",",F,O
302,VVT,Ny,O
302,-,F,O
302,I,M,O
302,kép,N,O
302,",",F,O
302,công_suất,N,O
302,184,M,O
302,mã_lực,Nu,O
302,",",F,O
302,235,M,O
302,Nm,Np,O
302,mô,P,O
302,-,F,O
302,men,N,O
302,xoắn,V,O
303,Về,E,O
303,vận_hành,N,O
303,",",F,O
303,Kia_Sedona,Np,B-S
303,lại,R,O
303,"""",F,O
303,trên_cơ,N,O
303,"""",F,O
303,Traveller,Np,B-O
303,một_chút,L,O
303,khi,N,O
303,sử_dụng,V,O
303,động_cơ,N,O
303,Diesel,Np,O
303,",",F,O
303,2.2,M,O
303,L,Ny,O
303,CRDi,Ny,O
303,và,C,O
303,Xăng,Np,O
303,",",F,O
303,Lambda,Np,O
303,3.3,M,O
303,L,Ny,O
303,MPI,Ny,O
303,",",F,O
303,công_suất,N,O
303,từ,E,O
303,197,M,O
303,-,F,O
303,266,M,O
303,mã_lực,N,O
303,",",F,O
303,mô,P,O
303,men,N,O
303,xoắn,V,O
303,cực_đại,N,O
303,318,M,O
303,-,F,O
303,440,M,O
303,Nm,Np,O
303,",",F,O
303,nhỉnh,A,O
303,hơn,R,O
303,khá,R,O
303,nhiều,A,O
303,so,V,O
303,với,E,O
303,động_cơ,N,O
303,Diesel,Np,O
303,2,M,O
303,L,Ny,O
303,4,M,O
303,kì,N,O
303,",",F,O
303,4,M,O
303,xy,N,O
303,lanh,V,O
303,thẳng,A,O
303,hàng,N,O
303,",",F,O
303,tăng,V,O
303,áp,N,O
303,",",F,O
303,công_suất,N,O
303,150,M,O
303,mã_lực,N,O
303,",",F,O
303,mô,P,O
303,-,F,O
303,men,N,O
303,xoắn,N,O
303,370Nm,M,O
303,của,E,O
303,Traveller,Np,B-O
304,Tuy_nhiên,C,O
304,",",F,O
304,Mitsubishi,Np,B-S
304,Triton,Np,I-S
304,có,V,O
304,phần,N,O
304,nhỉnh,A,O
304,hơn,A,O
304,về,E,O
304,khả_năng,N,O
