sentence_idx,title,main,aspect1,opinion1,aspect2,opinion2,aspect3,opinion3
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"Phong cách th? thao th? hi?n rõ trên m?u xe này ngo?i ph?n ngo?i hình tr? trung, n?i th?t ?n t??ng và kh? n?ng v?n hành v??t tr?i so v?i phân khúc",s?c m?nh,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"Không ch?u kém c?nh, Toyota Vios GR-S 2021 c?ng xu?t hi?n ?? khi?n ??i th? không ""cô ??n"" v?i di?n m?o b?t lành tính và tr? nên ""ng?u"" h?n theo m?t cách r?t riêng",thi?t k?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"Tuy nhiên, b??c sang b?n facelift, Toyota Vios GR-S 2021 cho th?y s? thay ??i ?? b?t k?p xu h??ng t??ng t? Honda City RS ?ã làm v?i thi?t k? th? thao, phóng khoáng h?n",thi?t k?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"? ph?n ??u, Honda City RS và Toyota Vios GR-S 2021 ??u s? d?ng c?m ?èn pha v?i nh?ng khoang LED chia nh? bên trong và tích h?p ?èn ??nh v? ban ngày",tính n?ng và công ngh?,trung l?p,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"Khi ??t c?nh nhau, Honda City RS 2021 v??t tr?i h?n nh? s? h?u thông s? kích th??c l?n h?n ??i th? Toyota Vios GR-S",thi?t k?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"? ph?n ?uôi, Honda City RS s? h?u c?m ?èn h?u góc c?nh h?n v? hi?n lành c?a Toyota Vios GR-S 2021",thi?t k?,trung l?p,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"Là th? h? m?i nên Honda City RS có khoang n?i th?t thay ??i g?n nh? hoàn toàn so v?i ""ng??i ti?n nhi?m"" theo xu h??ng hi?n ??i h?n",thi?t k?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"?áng chú ý, xe s? h?u màn hình gi?i trí kích th??c l?n và hi?n th? s?c nét h?n nh?ng gì mà Toyota Vios GR-S th? hi?n",tính n?ng và công ngh?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"Rõ ràng, vô-l?ng trên Honda City RS h?n h?n ??i th? v?i thi?t k? d?ng vát ?áy, còn Toyota Vios GR-S không khác bi?t so v?i b?n th??ng ngo?i tr? ???ng ch? khâu màu ??",thi?t k?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"? phía sau, c?m ??ng h? c?a Vios GR-S d?ng màu ?? th? thao h?n và màn hình TFT 4,2 inch l?n h?n",tính n?ng và công ngh?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"V?i chi?u dài tr?c c? s? l?n, Honda City RS 2021 là chi?c xe mang ??n không gian n?i th?t r?ng rãi nh?t cho ng??i dùng",thi?t k?,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"V? trang b? an toàn, Toyota Vios GR-S 2021 nh?nh h?n nh? h? th?ng ki?m soát l?c kéo và c?m bi?n lùi",an toàn,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,Honda City 2021 hi?n là m?u xe m?nh m? nh?t phân khúc nh? ??ng c? 1.5L DOHC i-VTEC 4 xy-lanh th?ng hàng t?o ra công su?t 119 mã l?c t?i 6.600 vòng/phút và mô-men xo?n c?c ??i 145 Nm t?i 4.300 vòng/phút,s?c m?nh,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"??ng th?i, m?u sedan c? nh? c?a Honda hi?n còn có ??ng c? m?nh m? nh?t phân khúc và nh?ng tr?i nghi?m th?c s? ?n t??ng ??i v?i chúng tôi",s?c m?nh,tích c?c,,,,
383,So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Ch?n xe sedan th? thao nào?,"Tuy nhiên, m?c giá cao h?n 31 tri?u ??ng so v?i ??i th? s? là chi ti?t khi?n nhi?u b?n kho?n khi l?a ch?n",giá,tiêu c?c,,,,
220,"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: L?a ch?n nào trong t?m giá 1,5 t? ??ng","Nhìn vào nh?ng thông s? kích th??c trên, VinFast Lux SA2.0 ?ang nh?nh h?n Kia Sorento v? m?i ch? s?, ?i?u này giúp xe v?m v? h?n khi nhìn t? ph?n thân",thi?t k?,tích c?c,,,,
220,"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: L?a ch?n nào trong t?m giá 1,5 t? ??ng",Dáng v? b? v? ???c th? hi?n rõ ? phía sau ?uôi xe VinFast Lux SA2.0 nh? thông s? kích th??c chi?u cao và r?ng ??u l?n h?n ??i th?,thi?t k?,tích c?c,,,,
220,"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: L?a ch?n nào trong t?m giá 1,5 t? ??ng","Tuy nhiên, v?i ??i ng? so sánh xe chúng tôi, thi?t k? màn hình xe c?n thay ??i b?i nó không th?c s? ?n t??ng nh? nhi?u ??i th?",thi?t k?,tiêu c?c,,,,
220,"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: L?a ch?n nào trong t?m giá 1,5 t? ??ng"," Kia Sorento 2021 có gh? tr??c ch?nh ?i?n ?a h??ng, có ch?c n?ng làm mát/s??i ?m và ??c bi?t xe có nh? 2 v? trí gh? lái h?n h?n ??i th?",tính n?ng và công ngh?,tích c?c,,,,
220,"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: L?a ch?n nào trong t?m giá 1,5 t? ??ng","V? tr?i nghi?m hàng gh? th? 3, theo c?m nh?n c?a chúng tôi, Kia Sorento có ph?n r?ng rãi h?n VinFast Lux SA2.0",thi?t k?,tích c?c,,,,
220,"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: L?a ch?n nào trong t?m giá 1,5 t? ??ng","S? thi?u sót c?a ??i th? là ?i?m m?nh c?a Kia Sorento v?i màn hình gi?i trí 12,3 inch k?t n?i Apple CarPlay và Android Auto cùng h? th?ng âm thanh vòm 12 loa Bose",tính n?ng và công ngh?,tiêu c?c,,,,
220,"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: L?a ch?n nào trong t?m giá 1,5 t? ??ng","Không nh?ng êm ái, ??ng c? d?u c?a Sorento m?i còn mang ??n nh?ng tr?i nghi?m uy l?c không khác gì máy x?ng",s?c m?nh,tích c?c,,,,
