word_idx,word,POS,IBO_tag
383,Về,E,O
383,trang_bị,V,O
383,an_toàn,A,O
383,",",F,O
383,Toyota_Vios,Np,B-SUB
383,GR,Ny,I-SUB
383,-,F,I-SUB
383,S,Ny,I-SUB
383,2021,M,I-SUB
383,nhỉnh,N,O
383,hơn,A,O
383,nhờ,V,O
383,hệ_thống,N,O
383,kiểm_soát,V,O
383,lực,N,O
383,kéo,V,O
383,và,C,O
383,cảm_biến,N,O
383,lùi,V,O
220,Điểm,N,O
220,vượt_trội,V,O
220,của,E,O
220,Sorento,Np,B-SUB
220,so,V,O
220,với,E,O
220,đối_thủ,N,B-OBJ
220,đến,V,O
220,từ,E,O
220,công_nghệ,N,O
220,an_toàn,A,O
220,Trong,E,O
220,khi,N,O
220,đó,P,O
220,",",F,O
220,Kia,P,B-SUB
220,Sorento,Np,I-SUB
220,2021,M,I-SUB
220,là,V,O
220,một,M,O
220,chiếc,Nc,O
220,xe,N,O
220,trẻ_trung,A,O
220,",",F,O
220,nội_thất,N,O
220,tiện_nghi,V,O
220,",",F,O
220,công_nghệ,N,O
220,an_toàn,A,O
220,dẫn_đầu,N,O
220,và,C,O
220,mang,V,O
220,đến,V,O
220,những,L,O
220,trải,N,O
220,nghiệm,V,O
220,êm_ái,A,O
220,cho,E,O
220,người,N,O
220,dùng,V,O
442,Trong,E,O
442,khi,N,O
442,đó,P,O
442,",",F,O
442,Ford,Np,B-SUB
442,EcoSport,A,I-SUB
442,vẫn,R,O
442,mang,V,O
442,đến,E,O
442,những,L,O
442,tính_năng,N,O
442,an_toàn,A,O
442,khá,R,O
442,cơ_bản,A,O
442,nếu,C,O
442,không,R,O
442,muốn,V,O
442,nói,V,O
442,là,V,O
442,thiếu,A,O
442,khá,R,O
442,nhiều,A,O
442,so,V,O
442,với,E,O
442,đối_thủ,N,B-OBJ
442,Đặc_biệt,A,O
442,",",F,O
442,chiếc,Nc,B-SUB
442,xe,N,I-SUB
442,này,P,I-SUB
442,có,V,O
442,những,L,O
442,công_nghệ,N,O
442,an_toàn,A,O
442,hàng_đầu,N,O
442,phân,V,B-OBJ
442,khúc,N,I-OBJ
442,xứng_đáng,A,O
442,là,V,O
442,lựa_chọn,V,O
442,đáng,V,O
442,tiền,N,O
442,ở,E,O
442,thời_điểm,N,O
442,hiện_tại,N,O
376,Nhờ,V,O
376,đó,P,O
376,",",F,O
376,những,L,O
376,chiếc,Nc,O
376,xe,N,O
376,Subaru,Np,B-SUB
376,luôn,R,O
376,được,R,O
376,biết,V,O
376,đến,R,O
376,là,V,O
376,an_toàn,A,O
376,nhất,A,O
376,thế_giới,N,B-OBJ
376,So,V,O
376,với,E,O
376,CR,Ny,B-OBJ
376,-,F,I-OBJ
376,V,Np,I-OBJ
376,",",F,O
376,đội_ngũ,N,O
376,so_sánh,V,O
376,xe,N,O
376,chúng_tôi,P,O
376,cảm_thấy,V,O
376,an_toàn,A,O
376,hơn,A,O
376,với,E,O
376,loạt,N,O
376,tính_năng,N,O
376,hỗ_trợ,V,O
376,người,N,O
376,lái,V,O
376,thuộc,V,O
376,gói,N,O
376,an_toàn,A,O
376,EyeSight,N,O
491,Với,E,O
491,những,L,O
491,công_nghệ,N,O
491,an_toàn,A,O
491,được,R,O
491,trang_bị,V,O
491,",",F,O
491,Mitsubishi,Np,B-SUB
491,Xpander,Np,I-SUB
491,2020,M,I-SUB
491,đang,R,O
491,tỏ,V,O
491,ra,V,O
491,vượt_trội,V,O
491,hơn,A,O
491,đối_thủ,N,B-OBJ
359,Ford,Np,B-SUB
359,Everest,Np,I-SUB
359,là,V,O
359,mẫu,N,O
359,xe,N,O
359,đi,V,O
359,đầu,N,O
359,trong,E,O
359,việc,N,O
359,trang_bị,V,O
359,những,L,O
359,công_nghệ,N,O
