sentence_idx,title,main,sức_mạnh,thiết_kế,giá,tính_năng,an_toàn
553,So sánh xe Vinfast LUX SA2.0 2019 và Toyota Fortuner 2019: Xe Việt đại thắng,"như_vậy , không còn nghi_ngờ gì khi nói rằng vinfast sa2 . 0 có thực_lực hoàn_toàn vượt xa đối_thủ toyota_fortuner về mọi mặt như độ rộng_rãi , công_nghệ , trang_bị cho tới vận_hành",1,1,0,1,0
464,"So sánh xe Mazda CX-5 2019 và Subaru Forester 2019: Kẻ đầy ắp công nghệ, kẻ đề cao sự mạnh mẽ","còn nội_thất subaru_forester 2019 đơn_giản nhưng toát lên sự mạnh_mẽ , thể_thao , thể_hiện đẳng_cấp cạnh_tranh không thua_kém các đối_thủ trong cùng phân khúc",0,1,0,0,0
406,So sánh xe Hyundai Santa Fe 2021 và Ford Everest 2021: chọn tiện nghi hay sự rộng rãi?,"mẫu suv mỹ có chiều dài nhỉnh hơn đối_thủ 107mm , cao hơn 107mm và trục cơ_sở dài hơn 85mm",0,1,0,0,0
129,So sánh Honda City L 2021 và Toyota Vios G 2021: chọn thực dụng hay theo xu hướng?,"nhờ sử_dụng nền_tảng khung gầm mới , honda city 2021 đã có kích_thước dài , rộng hơn đáng_kể , góp_phần tạo ra một không_gian nội_thất có_thể nói là rộng_rãi nhất phân khúc",0,1,0,0,0
316,So sánh nhanh Toyota Hilux 2021 và Mitsubishi Triton 2021,"kích_thước thùng_xe của mitsubishi triton theo dài x rộng x cao là 1.520 x 1.470 x 475 ( mm ) , còn toyota_hilux là 1.512 x 1.524 x 482 ( mm ) , rộng và cao hơn triton",0,1,0,0,0
191,So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam,"mitsubishi xpander có lợi_thế về thiết_kế trẻ_trung , nội_thất 7 chỗ đủ dùng và quan_trọng nhất là mức giá rẻ hơn 200 triệu đồng so với phiên_bản tương_tự của đối_thủ",0,0,1,0,0
284,So sánh nhanh Mazda CX-5 2019 và Peugeot 3008 2019,"có_giá_thành cao hơn , peugeot sử_dụng màn_hình hiển_thị thông_số kỹ_thuật 12,4 - inch dạng digital , hiện_đại và cá_tính hơn so với kiểu analog ở cx - 5",0,0,1,0,0
409,So sánh xe Hyundai SantaFe 2017 và Nissan X-Trail 2017: Xe Hàn - Nhật so tài,"về thông_số vận_hành , nissan x - trail sử_dụng động_cơ qr25de 2.5 l , cho công_suất tương_đương đối_thủ",1,0,0,0,0
490,So sánh xe Mitsubishi Xpander 2020 và Suzuki Ertiga Sport 2020: Nâng cấp để tiếp tục cuộc chiến,nhờ các thông_số kích_thước của xpander đều vượt_trội hơn hẳn so với ertiga sport nên không khó để nhận ra sự khác_biệt ấy từ phần thân,0,1,0,0,0
178,So sánh Mitsubishi Attrage với Chevrolet Aveo,"với mức giá cao hơn , mitsubishi attrage là chiếc xe được trang_bị nhiều tiện_nghi an_toàn hơn",0,0,1,0,0
431,So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?,"tuy_nhiên , nhược_điểm sẽ đến từ mức giá cao nhất phân khúc , gần 600 triệu đồng cho phiên_bản cao_cấp nhất",0,0,1,0,0
538,"So sánh xe Toyota Hilux Adventure 2020 và Ford Ranger Wildtrak 2020: Ngang tài, ngang sức","nhìn_chung , cả toyota_hilux adventure 2020 hay ford ranger wildtrak 2020 đều là những chiếc xe bán tải có khả_năng vận_hành ấn_tượng",1,0,0,0,0
377,So sánh xe Honda CR-V 2021 và Mitsubishi Outlander 2021,"ở thế_hệ 2021 , cr - v mới đã trở về với hình_thức lắp_ráp trong nước theo dạng ckd , giá bán các phiên_bản lần_lượt như sau : tương_tự , outlander 2021 cũng được phân_phối theo hình_thức lắp_ráp ckd nhưng khoảng giá được mở_rộng , qua đó tiếp_cận được nhiều đối_tượng khách_hàng hơn : bài viết này sẽ tập_trung so_sánh trang_bị của hai phiên_bản có mức giá đề_xuất tương_đương là cr - v 1.5 g cvt và outlander 2.4 cvt premium",0,0,1,0,0
52,Honda CR-V 2018 và Ford Escape 2018: Crossover nào tốt nhất khi mua ở Việt Nam?,"honda cr - v 2018 tiêu_chuẩn dành cho thị_trường mỹ đi kèm với động_cơ 4 xi_lanh dung_tích 2,4 lít cho 184 mã_lực , khá ổn so với việc lái_xe thường_ngày",1,0,0,0,0
174,So sánh Mercedes-Benz C200 2019 và Toyota Camry 2019: Đại chiến xe sang Đức - Nhật,dù thực_tế chỉ có c200 mới là xe sang thực_thụ nhưng camry cũng được nhiều người coi như 1 thương_hiệu hạng sang bởi mức giá bán cao và vẻ ngoài bắt_mắt,0,0,1,0,0
474,So sánh xe Mercedes-Benz E 300 AMG 2020 với Lexus ES 250 2020,"bằng việc tăng hầu_hết thông_số kích_thước xe và hạ thấp trọng_tâm , lexus es 250 2020 sẽ có khả_năng vận_hành tốt hơn",1,0,0,0,0
27,Chọn SUV đẳng cấp nào giữa BMW X7 2019 và Lexus LX570 2019? ,"xe có một màn_hình hiển_thị đa_phương_tiện 12.3 inch cảm_ứng hiện_đại , hỗ_trợ định_vị gps , kích_thước lớn vừa sang_trọng vừa hiển_thị nhiều thông_tin hơn",0,1,0,0,0
585,Đại chiến SUV nhập khẩu: Toyota Land Cruiser Prado 2018 hay Ford Explorer 2018 tốt hơn?,"về phía ford_explorer , xe cho cảm_giác nam_tính nhưng trẻ_trung hơn hẳn đối_thủ nhật_bản",0,0,1,0,0
531,So sánh xe Toyota Fortuner 2020 và Nissan Terra 2020: Thương hiệu lấn át công nghệ,toyota_fortuner 2020 dù không sở_hữu nhiều công_nghệ an_toàn và mức giá bán cao bậc nhất phân khúc nhưng lại có lợi_thế thương_hiệu cùng thiết_kế mềm_mại và ưa_nhìn,0,0,1,0,0
124,So sánh Honda Brio 2018 và Toyota Wigo 2018: Đại chiến tân binh hạng A,"các chuyên_gia dự_đoán rằng , chiếc xe này sẽ có_giá vào tầm 400 triệu khi về việt_nam , tương_tự như các mẫu xe khác thuộc phân khúc xe hạng a",0,0,1,0,0
471,So sánh xe Mercedes V-Class 2019 và Peugeot Traveller 2019: Nên mua MPV hạng sang nào cho phải?,"về cơ_bản , động_cơ của traveller khó có_thể mạnh_mẽ được như v - class",1,0,0,0,0
20,"Chọn Mercedes-Benz C 180 2020 hay Toyota Camry 2020: Hơn 1,5 tỷ đồng và sự chấp chới giữa xe sang và bình dân","nếu thực_tế nhìn cả 2 mẫu xe này ngoài đời , tôi tin chắc bạn không nghĩ kích_thước toyota_camry 2020 chỉ nhỉnh hơn đôi_chút so với đối_thủ đến từ đức",0,1,0,0,0
205,So sánh Toyota Camry 2.5Q thế hệ mới và thế hệ cũ tại Việt Nam,"tương_tự như ngoại_thất , nội_thất của camry đã được cách_tân gần như hoàn_toàn với sự bố_trí đơn_giản hơn nhưng sang_trọng và hiện_đại hơn",0,1,0,0,0
46,"Cùng tầm 1 tỷ, Honda CR-V 1.5 L và Nissan X-Trail V-Series 2.5 SV Luxury hơn kém nhau ra sao?","tuy_nhiên , honda cr - v 1.5 l có phần nhỉnh hơn về khả_năng vận_hành khi sở_hữu sức_mạnh mạnh_mẽ nhất phân khúc và không_gian bên trong yên_tĩnh nhờ vào tính_năng chủ_động kiểm_soát tiếng ồn",1,0,0,0,0
197,So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?,"xét về thông_số kích_thước , toyota_corolla cross rỏ ra hoàn_toàn vượt_trội so với đối_thủ và nhìn từ thân , chiếc xe đến từ nhật_bản cũng bề_thế hơn rõ_rệt",0,1,0,0,0
530,So sánh xe Toyota Fortuner 2018 và Peugeot 5008 2018: Ông hoàng và tân binh,"xét về kích_thước , toyota_fortuner có vẻ to_lớn hơn đối_thủ một_chút , cụ_thể là dài hơn 5008 125mm và cao hơn đối_thủ 180mm",0,1,0,0,0
218,So sánh VinFast LUX A 2021 và Toyota Camry 2021: chọn cảm giác lái hay bền bỉ?,với những thông_số như trên thì chúng_ta cũng dễ_dàng nhận ra khả_năng vận_hành của vinfast lux a base 2021 mạnh_mẽ và chiếm ưu_thế hơn hẳn so với toyota_camry 2.0 g 2021,1,0,0,0,0
256,So sánh nhanh Hyundai Accent 2021 và Mitsubishi Attrage 2021,"các thông_số về kích_thước đều cho thấy hyundai accent có chiều dài tổng_thể và chiều rộng_lớn hơn , giúp mang lại không_gian cabin rộng_rãi , dễ_chịu hơn , đặc_biệt là ở hàng ghế sau",0,1,0,0,0
14,"Chọn Hyundai SantaFe 2019 kèm theo ""lạc"" hay Peugeot 5008 2019?","về tổng_thể , kiểu thiết_kế vô_lăng chỉ có hai chấu cộng với phần vàng lái không tròn đều của peugeot 5008 mang đến cảm_giác ấn_tượng hơn so với kiểu thiết_kế vô_lăng 3 chấu và vành lái tròn đều của santafe",0,0,1,0,0
148,So sánh Isuzu mu-X và Toyota Fortuner,"mọi thông_số kích_thước của mu - x đều nhỉnh hơn fortuner 2014 , từ “ số_đo ba vòng ” cho đến khoảng_cách hai cầu và khoảng sáng gầm , ngay cả bán_kính quay_vòng cũng tốt hơn dù mu - x sở_hữu thân_hình cồng_kềnh hơn",0,1,0,0,0
542,"So sánh xe Toyota Rush và Toyota Avanza: ""Gà nhà đá nhau"" trong tầm giá 700 triệu","toyota_rush rộng hơn 1 chút với chiều dài cơ_sở 2695mm , vậy nên khu_vực để chân của chiếc suv cũng rộng_rãi hơn đối_thủ",0,1,0,0,0
394,So sánh xe Hyundai Accent 2015 và Honda City 2016: Mỗi người một vẻ,"về trang_bị an_toàn , honda city 2016 thể_hiện sự trội hơn so với hyundai accent 2015 khi có danh_sách các trang_bị an_toàn dài hơn",0,0,0,0,1
210,So sánh Toyota Hilux 2016 và Mazda BT-50 2016: Liệu có cân sức?,"nếu xét về kích_thước , mazda bt - 50 2016 có lợi_thế hơn nhờ chiều dài , chiều cao và chiều dài cơ_sở đều hơn đối_thủ lần_lượt là 35mm , 5mm và 135 mm",0,1,0,0,0
236,So sánh nhanh Ford Everest 2021 và Mitsubishi Pajero Sport 2021,"đặc_biệt , trang_bị gói an_toàn mitsubishi_e - assist giúp mẫu xe này không còn thua_kém các đối_thủ về mắt công_nghệ",0,0,0,0,1
311,So sánh nhanh Toyota Corolla Cross 2020 và Mazda CX-5 2020,"từ đó , giá lăn bánh của toyota_corolla cross 2020 có phần cao hơn đôi_chút",0,0,1,0,0
73,"Mua xe bán tải mới, chọn Mitsubishi Triton MIVEC 4x4 AT 2019 hay Ford Ranger Wildtrak 4x4 AT 2018?",thùng_xe của ranger có khả_năng chứa nhiều đồ_dùng hơn hẳn so với triton khi sở_hữu kích_thước 1.450 x 1.560 x 450 mm,0,1,0,0,0
563,"Tân binh Ford Ranger Raptor đọ sức với ""đàn anh"" Ford Ranger Wildtrak 4x4 AT",ford ranger raptor mới ra_mắt việt_nam tại triển_lãm ô_tô vms 2018 có kích_thước tổng_thể lớn hơn phiên_bản wildtrak 4x4 at,0,1,0,0,0
144,So sánh Hyundai Tucson 2020 và Mazda CX-5 2020 cho nhu cầu gia đình,"xét về kích_thước rộng x cao , hyundai tucson có thông_số 1.850 x 1.660 ( mm ) , trong khi đối_thủ mazda cx - 5 có thông_số 1.840 x 1.680 ( mm )",0,1,0,0,0
532,So sánh xe Toyota Fortuner 2020 và Peugeot 5008 2020: Chất thực dụng xe Nhật đấu tiện nghi xe châu Âu,"bước vào khoang lái , toyota_fortuner 2020 được tối_ưu không_gian tốt hơn nên dù chiều rộng bằng đối_thủ nhưng sự thoải_mái là điểm dễ cảm_nhận với người dùng",0,1,0,0,0
191,So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam,"thế nhưng , mitsubishi_xpander lại có trọng_lượng nhẹ hơn innova nên khả_năng vận_hành cũng không phải là điều quá lo_ngại",0,1,0,0,0
141,So sánh Hyundai SantaFe 2019 và Mitsubishi Pajero Sport 2019,"mẫu suv nhật_bản có phần nhỉnh hơn về trang_bị an_toàn khi được bố_trí lên tới 7 túi khí , bổ_sung hệ_thống kiểm_soát lực kéo hoạt_động cùng với hệ_thống cân_bằng điện_tử",0,0,0,0,1
170,So sánh Mazda CX-5 2.0 Deluxe và Toyota Corolla Cross 1.8V,"về kích_thước , mazda cx - 5 2.0 deluxe hoàn_toàn vượt_trội so với toyota_corolla cross 1.8 v ở hầu_hết mọi thông_số",0,1,0,0,0
