sentence_idx	title	main	aspect1	opinion1	aspect2	opinion2	aspect3	opinion3
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Phong cách thể thao thể hiện rõ trên mẫu xe này ngoại phần ngoại hình trẻ trung, nội thất ấn tượng và khả năng vận hành vượt trội so với phân khúc"	sức mạnh	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Không chịu kém cạnh, Toyota Vios GR-S 2021 cũng xuất hiện để khiến đối thủ không ""cô đơn"" với diện mạo bớt lành tính và trở nên ""ngầu"" hơn theo một cách rất riêng"	thiết kế	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Tuy nhiên, bước sang bản facelift, Toyota Vios GR-S 2021 cho thấy sự thay đổi để bắt kịp xu hướng tương tự Honda City RS đã làm với thiết kế thể thao, phóng khoáng hơn"	thiết kế	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Ở phần đầu, Honda City RS và Toyota Vios GR-S 2021 đều sử dụng cụm đèn pha với những khoang LED chia nhỏ bên trong và tích hợp đèn định vị ban ngày"	tính năng và công nghệ	trung lập				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Khi đặt cạnh nhau, Honda City RS 2021 vượt trội hơn nhờ sở hữu thông số kích thước lớn hơn đối thủ Toyota Vios GR-S"	thiết kế	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Ở phần đuôi, Honda City RS sở hữu cụm đèn hậu góc cạnh hơn vẻ hiền lành của Toyota Vios GR-S 2021"	thiết kế	trung lập				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Là thế hệ mới nên Honda City RS có khoang nội thất thay đổi gần như hoàn toàn so với ""người tiền nhiệm"" theo xu hướng hiện đại hơn"	thiết kế	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Đáng chú ý, xe sở hữu màn hình giải trí kích thước lớn và hiển thị sắc nét hơn những gì mà Toyota Vios GR-S thể hiện"	tính năng và công nghệ	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Rõ ràng, vô-lăng trên Honda City RS hơn hẳn đối thủ với thiết kế dạng vát đáy, còn Toyota Vios GR-S không khác biệt so với bản thường ngoại trừ đường chỉ khâu màu đỏ"	thiết kế	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Ở phía sau, cụm đồng hồ của Vios GR-S dạng màu đỏ thể thao hơn và màn hình TFT 4,2 inch lớn hơn"	tính năng và công nghệ	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Với chiều dài trục cơ sở lớn, Honda City RS 2021 là chiếc xe mang đến không gian nội thất rộng rãi nhất cho người dùng"	thiết kế	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Về trang bị an toàn, Toyota Vios GR-S 2021 nhỉnh hơn nhờ hệ thống kiểm soát lực kéo và cảm biến lùi"	an toàn	tích cực				
